BARRAS;PRODUCTO;COSTO
7790520006370;MR MUSCULO CREMA x 450 Desinfect;12.252
7790520007711;RAID MMM DOBLE ACCION x 400ML;18.531
7790520007810;FUYI MMM AEROSOL x 400;12.646
7790520008435;MM GLADE LIMP LIQ x 900 T MORAS;7.909
7790520009050;BLEM PISOS PLASTIFICADOS DP FLORAL;10.706
7790520009623;LYSOFORM x 390 AERO FLORAL;15.539
7790520010520;RAID EXTERMINADOR  AERO x 400;14.741
7790520011732;RAID ANTIPOL. CONTINUO PERCHA x 2 Uni;22.895
7790520011770;RAID ANTIPOLILLA x 400;21.940
7790520018021;BLEM CERA  P/MAD.  x 900 UNIVERSAL;29.938
7790520018038;BLEM CERA  P/MAD.  x 900 R CLARO;29.938
7790520018045;BLEM CERA  P/MAD.  x 900 R OSCURO;29.938
7790520030047;RAID MATAPULGAS AERO x 400;45.258
7790520145208;RAID TAB AP MAZDA S/CABLE;17.985
7790520146205;FUYI  APAR C/ CABLE ;45.135
7790520150509;MM GEL LIMPIADOR C/ LAVAND.x 500;13.976
7790520155047;MM MULTIUSO D PACK x 500;6.123
7790520155246;MM ANTIG  COCINA D PACK x 500 ;3.560
7790520155450;RAID TAB LARGA DUR  X 24;15.327
7790520155702;RAID TAB LARGA DUR  X 12;7.731
7790520161055;OFF AEROSOL x 165;21.757
7790520161918;FUYI TABLETAS 10 x 120;81.805
7790520200303;KLARO  AEROSOL x 400;15.378
7790520200716;KLARO  GATILLO x 500;23.015
7790520200723;KLARO  REPUESTO x 500;10.795
7790520221001;ECHO  x 2L TRADICIONAL;40.325
7790520222701;ECHO  x 5L TRADICIONAL;67.329
7790520270733;GLO COT CERA P/MADERA NATURAL;21.759
7790520508485;RAID MMM x 400CM3;15.959
7790520508607;RAID MMM SIN OLOR;18.902
7790520550507;MM MULTIUSO REPUESTO x 500;9.723
7790520552006;MM ANTIG. COCINA GATILLO x 500;10.805
7790520552501;MM ANTIG. COCINA  REPUESTO x 500;7.899
7790520552808;MM CANASTA LIQ. AP. MARINA x 55CC;18.102
7790520552815;MM CANASTA LIQ. REP. MARINA x 55CC;15.474
7790520552839;MM CANASTA LIQ. REP. PINO x 55CC;15.474
7790520552877;GLADE CAN.LIQ. FULL LAVANDA ;19.306
7790520552891;GLADE CAN.LIQ. REP. LAVANDA;16.554
7790520802170;ZIPLOC C/CIERRE DENT GDE 27x28x5U;8.604
7790520803405;ZIPLOC FILM REPUESTO x 10 MTS.;11.198
7790520972200;GLADE TOQUE FULL LAVANDA;15.461
7790520972255;GLADE TOQUE REP. LAVANDA;10.102
7790520981882;LYSOFORM CAN LIQ P/ INOD RPTO.;15.637
7790520981936;BLEM  x 400 AERO MARRON;19.956
7790520981967;MM LIMPIAHORNOS AERO x 400ML;17.687
7790520981974;BRISHINE x  400 AEROSOL;11.870
7790520982001;BLEM  x 2L INCOLORO;0.000
7790520982056;BLEM  x 5L BIDON INCOLORO;97.085
7790520982100;RAID MAX AEROSOL x 400;22.479
7790520982261;GLADE TOQUE REP. BEBE;10.102
7790520982278;KLARO REPUESTO DOY PACK x 500;4.995
7790520984357;BLEM  x 400 AERO NARANJA;19.956
7790520984371;MM ANTIG NARANJA REPUESTO x 500;9.081
7790520984401;ZIPLOC S/CIERRE E-GDE. 35X57CM X10U;8.604
7790520984418;ZIPLOC S/CIERRE GDE. 25X35CM X20U;8.604
7790520984524;MM ANTIG NARANJA D PACK x 500;6.541
7790520984579;BAYGON CEBOS CUCARA x 4;11.258
7790520984616;MM ANTIG. COCINA D PACK x 900;8.080
7790520984623;MM MULTIUSO D PACK x 900;12.041
7790520984630;KLARO REPUESTO DOY PACK x 900;10.070
7790520985019;GLADE TOQUE REP TWIN PACK LAVANDA;19.073
7790520985163;GLADE TOQUE FULL COCINA (T&F CITRIC);15.461
7790520985170;GLADE TOQUE REP COCINA (T&F CITRIC);10.102
7790520985194;GLADE CANASTA 2 EN 1 REPUESTO x 35G;9.863
7790520985323;ZIPLOC C/CIERRE DENT. PEQ. 18X20CM X8U;8.604
7790520985323;ZIPLOC CIERRE DESLIZ GRANDES X 4 U;8.604
7790520985330;ZIPLOC CIERRE DESLIZ PEQ X 6 U;8.604
7790520985347;BAYGON JERINGA x 6G;27.615
7790520985485;GLADE ULTRA CAMPOS DE LAVANDA;11.472
7790520985515;GLADE ULTRA SPA x 120;11.472
7790520985675;MR MUSCULO OXY POWER POLVO x 250G.;20.265
7790520985743;GLADE  x 360 AERO LAVANDA;8.568
7790520985750;GLADE  x 360 AERO CAM DE JAZMIN;8.568
7790520985781;GLADE x 360 AERO I LOVE YOU ;8.568
7790520985798;GLADE x 360 AERO CA DE ALGODON;8.568
7790520985804;GLADE x 360 AERO CARICIAS DE BEBE ;8.568
7790520985811;GLADE  x 360 AERO ANTITABACO;8.568
7790520985910;MM PRELAVADO OXYPOWER GATILLO x 500;16.974
7790520985934;MM PRELAVADO OXYPOWER DP x 500;8.906
7790520985941;LYSOFORM x 327 AERO CITRICO;15.539
7790520986030;MM ANTIG NARANJA GATILLO x 500;14.425
7790520986139;GLADE TOQUE REP. SPA;10.102
7790520986146;GLADE TOQUE REP. I LOVE YOU;10.102
7790520986153;RAID CASA Y JARDIN AERO x 360;18.531
7790520986160;RAID MAX JERINGA GEL x 3G;21.507
7790520986382;ECHO  x 500  D PACK;8.491
7790520986405;BLEM  x 450 D PACK INCOLORO;14.317
7790520986429;BLEM  x 450 D PACK ROJO;14.317
7790520986443;CERAMICOL  x 500 D PACK ;8.530
7790520986467;BLEM  x 500 D PACK REVOLUTION;17.678
7790520986481;LYSOFORM  x 450 D PACK ORIGINAL;7.490
7790520986504;LYSOFORM .x 450 D PACK BEBE;7.490
7790520986542;LYSOFORM  x 450 D PACK CITRICA;7.490
7790520986603;ECHO  x 1L TRADICIONAL;20.375
7790520986610;ECHO  x 1L LAVANDA;20.375
7790520986627;ECHO LISTO  x 1L LAVANDA;15.281
7790520986634;ECHO LISTO  x 1L FLORAL;15.281
7790520986641;ECHO LISTO  x 1L NARANJA;15.281
7790520986658;BLEM  x 1L INCOLORO;28.579
7790520986665;BLEM  x 1L ROJO;28.579
7790520986672;BLEM  x 1L NEGRO;28.579
7790520986689;BLEM  x 1L  ACRILICO;35.744
7790520986702;BLEM  x 1L REVOLUTION;30.850
7790520986726;CERAMICOL  x 1L INCOLORO;17.232
7790520986733;CERAMICOL  x 1L ROJO;17.232
7790520986740;CERAMICOL  x 1L NEGRO;17.232
7790520986757;BLEM PISOS PLASTIFICADOS x 1L;20.985
7790520986764;GLADE  x 360 AERO SPA;8.568
7790520986771;RAID SIST EXTERM. CEBO EST x 6;18.486
7790520986788;LYSOFORM x 360 AERO CLASICO;15.539
7790520986795;LYSOFORM x 360 AERO AIRE DE MONTANA;15.539
7790520986801;LYSOFORM x 360 AERO BEBE;15.539
7790520986818;MM PRELAVADO GEL ACTIVO GATILLO ;20.035
7790520986825;MM DESTRUCTOR DE SUCIED GATILLO*500;24.144
7790520986832;MM PRELAVADO GEL ACTIVO DP x 400 ML;9.904
7790520986856;GLADE AUTO REP ACQUA;28.138
7790520987020;LYSOFORM BAÑO ACC TOTAL GAT X 500;21.160
7790520987037;LYSOFORM BAÑO ACC TOTAL D.PACK x 500;8.876
7790520987044;LYSOFORM COCINA ANTIG. GAT X 500;18.630
7790520987051;LYSOFORM COCINA ANTIG. D.P. X 500;9.255
7790520987105;GLADE CANASTA P/ INOD FULL 4 FRAG;5.974
7790520987112;GLADE CANASTA P/ INOD REP 4 FRAG;4.922
7790520987136;GLADE AUTO REP I LOVE YOU;28.138
7790520987167;GLADE AUTO FULL NEUTRALIZDOR;31.407
7790520987297;BLEM  x 400 AERO LAVANDA;19.956
7790520987358;MM ANTIG NARANJA D PACK x 900;11.875
7790520987365;MR MUSCULO OXY POWER POLVO x 400G;30.361
7790520987389;GLADE x 360 AERO B DE LAS CUMBRES ;8.568
7790520987426;GLADE TOQUE REP. BRISA  DE LAS CUMBRES;10.102
7790520987433;LYSOFORM  x 900 ORIGINAL BOTELLA;11.675
7790520987440;LYSOFORM  x 800 D PACK ORIGINAL;10.344
7790520987457;LYSOFORM .x 450 D PACK LAVANDA;7.490
7790520987464;LYSOFORM  x 450 D PACK  A MONTAÑA;7.490
7790520987488;M MUS BLOQUE MOCHILA AZUL x 45G;11.773
7790520987600;GLADE PASTILLA INODOROS LAVANDA;4.968
7790520987617;GLADE SENSATIONS REP ALGODÓN;19.404
7790520987891;M MUS ADHESIVO 30 gr LAVANDA;6.515
7790520988003;GLADE TOQUE FULL MAÑANA DE CAMPO;15.461
7790520988010;GLADE TOQUE REP. MAÑANA DE CAMPO;10.102
7790520988218;GLADE CAN.LIQ. FULL MAÑANA DE CAMPO;19.306
7790520988225;GLADE CAN.LIQ. REP. MAÑANA DE CAMPO;16.554
7790520988232;LYSOFORM CAN LIQ ELIM OLOR FULL;20.112
7790520988249;LYSOFORM CAN LIQ ELIM OLOR RPTO;16.427
7790520988300;GLADE ACEITE FULL MIX (MC-VA-HAR);36.162
7790520988355;GLADE AUTO REP VAINILLA;28.138
7790520988430;GLADE x 360 AERO MAÑA DE CAMPO;8.568
7790520988454;GLADE x 360 AERO POTPURRI;8.568
7790520988461;GLADE TOQUE REP TWIN PACK POTPOURRI;19.073
7790520988478;GLADE TOQUE REP POTPOURRI ;10.102
7790520988492;GLADE PASTILLA INODOROS BRISA-PINO;4.968
7790520988515;GLADE PASTILLA INODOROS M DE CAMPO;4.968
7790520988539;RAID TAB AP C/CABLE ;38.491
7790520988546;GLADE CAN.LIQ. REP. BRISA DE CUMBRES;16.554
7790520988997;BLEM  x 450 D PACK FLORAL;14.317
7790520989000;BLEM  x 1L FLORAL;28.579
7790520989048;LYSOFORM MANUAL INOD.GEL 500ML;12.063
7790520989055;LYSOFORM MANUAL INOD GEL LAVANDA;12.063
7790520989079;MM MULTIUSO GATILLO x 500 F ROJOS;16.149
7790520989086;MM MULTIUSO D PACK x 500 F ROJOS;7.358
7790520989093;MM MULTIUSO D PACK x 900 F ROJOS;12.641
7790520989109;M.MUS BAÑO GATILLO 500;23.254
7790520989116;M.MUS BAÑO D.PACK 500;10.380
7790520989123;M.MUS BAÑO D.PACK 900;17.310
7790520989185;MM MULTIUSO REPUESTO x 500 F ROJOS;11.438
7790520989215;GLADE SENSATIONS REP NECTAR FLORES;19.404
7790520989222;GLADE SENSATIONS REP HARMONY;19.404
7790520989239;GLADE SENSATIONS REP LAVANDA;19.404
7790520989246;GLADE GLASS SCENTS FULL HARMONY;32.566
7790520989277;GLADE x 360 AERO HARMONY;8.568
7790520989413;GLADE x 360 AERO FLORAL PERFECTION;8.568
7790520989420;GLADE TOQUE FULL FLORAL PERFECTION;15.461
7790520989437;GLADE TOQUE REP FLORAL PERFECTION;10.102
7790520989451;GLADE SENSATIONS ELECTRIC M CAMPO;32.712
7790520989468;GLADE SENSATIONS ELECTRIC N FLORES;32.712
7790520989604;M MUS ADHESIVO 30 gr MARINA;6.515
7790520989611;M MUS ADHESIVO 30 gr CITRICA;6.515
7790520989772;M MUS DISCOS ACTIVOS FULL LAVANDA;20.731
7790520989789;M MUS DISCOS ACTIVOS RPTO LAVANDA;16.646
7790520995508;GLADE ULTRA I LOVE YOU x 120;11.472
7799197300000;OFF CREMA x 60;5.014
7805050148244;LYSOFORM BLOQUE PARA MOCHILA;12.719
8002030138250;GLADE DEO SMILE 8CITR-4BRISA;12.884
8002030138281;GLADE DEO SMILE VAINILLA-FISH;12.884
